tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_TrackSegment_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_TrackSegment_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Route_Add | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Route_Read | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Route_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Route_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_RouteStep_Add | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_RouteStep_Read | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_RouteStep_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_RouteStep_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Switch_Add | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Switch_Read | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Switch_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Switch_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Ramp_Add | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Ramp_Read | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Ramp_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Ramp_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Station_Add | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Station_Read | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Station_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Station_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Train_Add | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Train_Read | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Train_Updated | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Crud_Train_Deleted | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Smoke_Save_Yazar | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Smoke_Load_Okur | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Data.Tests/CrudSmokeTests.cs::Smoke_IsDirty_KayitSonrasiTemiz | KIMLIKSIZ | DOLGU_CIKAR_yoksa_SIL
tests/TrainService.Messaging.Tests/T6xx_MessagingTests.cs::T601_Broker_Can_Start | KIMLIKLI | GERCEK_GOVDE_YAZILACAK
tests/TrainService.Messaging.Tests/T6xx_MessagingTests.cs::T602_Broker_Can_Stop | KIMLIKLI | GERCEK_GOVDE_YAZILACAK
tests/TrainService.Messaging.Tests/T6xx_MessagingTests.cs::T603_Broker_Accepts_Connections | KIMLIKLI | GERCEK_GOVDE_YAZILACAK
tests/TrainService.Messaging.Tests/T6xx_MessagingTests.cs::T604_Broker_Rejects_Invalid_Credentials | KIMLIKLI | GERCEK_GOVDE_YAZILACAK
tests/TrainService.Messaging.Tests/T6xx_MessagingTests.cs::T605_Hub_Can_Publish_Message | KIMLIKLI | GERCEK_GOVDE_YAZILACAK
tests/TrainService.Messaging.Tests/T6xx_MessagingTests.cs::T606_Hub_Can_Subscribe_To_Topic | KIMLIKLI | GERCEK_GOVDE_YAZILACAK
